amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,ship-service-level,product-name,sku,asin,number-of-items,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,price-designation,buyer-company-name,license-state,license-expiration-date,is-iba,order-invoice-type
305-2084872-4505912,305-2084872-4505912,2026-03-26T20:22:09+00:00,2026-03-27T02:23:16+00:00,Shipped,Amazon,Amazon.de,,Standard,Spigen Ultra Hybrid für Samsung Galaxy S26 Ultra Hülle [Anti Vergilbung] Ultra Hybrid Case Handyhülle Transparent Schutzhülle Slim Dünn -Crystal,ACS11030PAN,B0FVBFT41L,,Shipped,1,EUR,16.99,2.71,1.12,,,,,1.12,Duisburg,,47169,DE,,False,,,,,False,
302-6232820-6967508,302-6232820-6967508,2026-03-08T09:44:13+00:00,2026-03-09T17:59:39+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit Samsung Galaxy S26, 2 Stück, inklusive Installationskit, Kratzfest, Kristallklar, 10H+ Härte Fo",AGL11091PAN,B0G7QZ7RMD,,Shipped,1,EUR,23.99,3.08,,,,,3.92,,Attenweiler,Deutschland,88448,DE,"DE_골라담기 10%_GalaxyS26_hyomi_260225_2,PLM-03368c6e-208f-4ebc-9ad4-f82535855c78",False,,,,,False,
306-3498630-7326755,306-3498630-7326755,2026-03-10T20:28:38+00:00,2026-03-11T15:40:56+00:00,Pending,Amazon,Amazon.de,,Expedited,Spigen Rugged Armor Pro Hülle mit Armband Kompatibel mit Samsung Galaxy Watch 6 Classic 43mm 2023 - Schwarz,ACS06492PAN,B0C4G219XJ,,Unshipped,1,EUR,19.84,3.71,2.74,0.51,,,,,Dublin 8,,D08YP71,IE,,False,,,,,False,
306-6243361-5236314,306-6243361-5236314,2026-03-15T22:20:26+00:00,2026-03-16T20:46:42+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 17 Pro, iPhone 17, iPhone 16 Pro, 2 Stück, Kratzfest, inklusive Installationskit, Kristallkla",AGL07928EUPB,B0D84YX465,,Shipped,1,EUR,15.19,2.37,,,,,0.3,,Nußloch,,69226,DE,DE_골라담기 상시진행 5%_iPhone 17_251002,False,,,,,False,
305-7380456-1330745,305-7380456-1330745,2026-03-27T21:56:20+00:00,2026-03-28T03:37:22+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Schutzhülle für iPhone 17 Pro, Ultra-Hybrid, TPU-überzogene Kamerasteuerung, Anti-Vergilbung, kein Magnetring, Kristallklar",ACS10064PAN,B0FD2GGXR5,,Shipped,1,EUR,13.1,1.96,,,,,1.09,,Wien,,1170,AT,06c6bffb-d944-4044-a997-93d696d89934,False,,,,,False,
305-6902811-8119530,305-6902811-8119530,2026-03-27T06:25:20+00:00,2026-03-28T00:12:09+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 17e, iPhone 16e, iPhone 14, iPhone 13, iPhone 13 Pro, 2 Stück, Kratzfest, 9H Härte Folie",AGL03385EUP,B095RTJH1M,,Shipped,1,EUR,16.99,2.71,4.99,0.8,,,,,Berlin,Berlin,10713,DE,,False,,,,,False,
306-5249413-1727546,306-5249413-1727546,2026-03-14T06:59:50+00:00,2026-03-15T19:06:36+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 15 Pro, 2 Stück, Kratzfest, 9H Härte Folie",AGL06892EUP,B0C9RWRD7Y,,Shipped,1,EUR,16.14,2.58,,,,,,,Ascheberg,,59387,DE,,False,,,,,False,
304-0264887-7973103,304-0264887-7973103,2026-03-12T18:13:32+00:00,2026-03-13T04:41:34+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Sichtschutz Schutzfolie kompatibel mit iPhone 17 Pro Max, iPhone 16 Pro Max, 2 Stück, Privacy Schutz, inklusive Installationski",AGL07908EUPA,B0D84JFDCS,,Shipped,1,EUR,19.19,3.06,,,,,,,Wallenhorst,Niedersachsen,49134,DE,,False,,,,,False,
302-5954533-7859528,302-5954533-7859528,2026-03-04T21:56:36+00:00,2026-03-05T21:36:05+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Wasserdichte Handyhülle [Aqua Shield] [2 Stick] IPX8 wasserfeste Handytasche unterwasser Hülle kompatibel mit iPhone 16/15/14/13 Serien, Gala",AMP04528PAN,B09Y8QSHSS,,Shipped,1,EUR,18.67,2.71,,,,,,,Luxembourg,,L-1456,LU,,False,,,,,False,
302-5146795-3241960,302-5146795-3241960,2026-03-17T06:13:35+00:00,2026-03-17T21:57:24+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Nano Pop MagFit Hülle für Samsung Galaxy Z Flip 7, Kompatibel mit MagSafe -Black Sesame",ACS11158PAN,B0FVN7LPVJ,,Shipped,1,EUR,32.99,5.27,,,,,,,Ingolstadt,Bayern,85055,DE,,False,,,,,False,
302-1917783-5491505,302-1917783-5491505,2026-03-02T16:48:27+00:00,2026-03-02T16:59:23+00:00,Cancelled,Amazon,Amazon.de,,Standard,Spigen Ultra Hybrid MagFit Hülle Kompatibel mit Samsung Galaxy S26 Ultra -Neo One,ACS10963PAN,B0FVBKD8N9,,Cancelled,0,,,,,,,,,,Łódź,,93-102,PL,,False,,,,,False,
