(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions – Mobile APP – B2B,Sessions - Browser,Sessions – Browser – B2B,Sessions - Total,Sessions – Total – B2B,Session Percentage - Mobile App,Session Percentage – Mobile APP – B2B,Session Percentage - Browser,Session Percentage – Browser – B2B,Session Percentage - Total,Session Percentage – Total – B2B,Page Views - Mobile App,Page Views – Mobile APP – B2B,Page Views - Browser,Page Views – Browser – B2B,Page Views - Total,Page Views – Total – B2B,Page Views Percentage - Mobile App,Page Views Percentage – Mobile App – B2B,Page Views Percentage - Browser,Page Views Percentage – Browser – B2B,Page Views Percentage - Total,Page Views Percentage – Total – B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage – B2B,Units ordered,Units ordered - B2B,Unit session percentage,Unit session percentage - B2B,Ordered product sales,Ordered product sales - B2B,Total order items,Total order items - B2B,report_date
B0FDQP46Z2,B0FBDQ73HY,"Spigen Glas.tR EZ Fit Optik Kameraschutz kompatibel mit Google Pixel 10 Pro, 2 Stück, Kristallklar, Rundumschutz, Anti-Kratzer, 9H Härte Schutzfolie",18,0,13,2,31,2,0.07%,0.0%,0.08%,0.21%,0.07%,0.16%,21,0,14,2,35,2,0.06%,0.0%,0.07%,0.14%,0.06%,0.11%,97.06%,100.0%,5,0,16.13%,0.0%,99.97,0.0,5,0,20260330
B0FWT8ND63,B0FWT8ND63,Spigen Rugged Armor Pro Hülle mit Armband Kompatibel mit Google Pixel Watch 4 45mm (2025) mit Ladeständer - Matt Schwarz,22,0,16,0,38,0,0.05%,0.0%,0.08%,0.0%,0.06%,0.0%,31,0,23,0,54,0,0.05%,0.0%,0.09%,0.0%,0.06%,0.0%,100.0%,0.0%,2,0,5.26%,0.0%,51.82,0.0,2,0,20260308
B0G6Y6XB4Z,B0FD2K58MF,Spigen iPhone 17 Hülle [Spigen Signature] Ultra Hybrid MagFit [Dura Clear Tech] Case Handyhülle Transparent Kompatibel mit MagSafe -Clear White,177,2,127,6,304,8,0.34%,0.42%,0.52%,0.46%,0.4%,0.45%,280,2,191,8,471,10,0.4%,0.31%,0.59%,0.46%,0.46%,0.42%,99.28%,57.14%,38,0,12.5%,0.0%,607.7,0.0,37,0,20260316
B0FQSD86KK,B0FCFC9WL2,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit iPhone 17 Pro, iPhone 17, iPhone 16 Pro, 2 Stück, inklusive Installationskit, Kratzfest, Kristallklar, 9H Härte Folie",21,0,16,1,37,1,0.08%,0.0%,0.11%,0.2%,0.09%,0.14%,33,0,28,1,61,1,0.08%,0.0%,0.14%,0.14%,0.1%,0.09%,100.0%,100.0%,3,0,8.11%,0.0%,68.97,0.0,3,0,20260328
B0FQMPZFVM,B0FD2C5LLX,Spigen iPhone 17 Hülle [Spigen Premium Qualität] Rugged Armor MagFit Case Carbonfaser Muster Handyhülle TPU Schutzhülle Kompatibel mit MagSafe -Matte Black,20,0,21,0,41,0,0.08%,0.0%,0.15%,0.0%,0.1%,0.0%,30,0,36,0,66,0,0.08%,0.0%,0.18%,0.0%,0.12%,0.0%,100.0%,0.0%,2,0,4.88%,0.0%,39.66,0.0,2,0,20260324
B09N9Y7X2Z,B09N9Y7X2Z,"Spigen Rugged Armor Pro Tasche Kompatibel mit MacBook Neo (2026) MacBook Pro 14 Zoll M5 Pro / M5 Max (2026), M5 (2025),M4 / M3 / M2 / M1 Pro/Max Serie (2024/23/21) - Schwarz",4,0,1,0,5,0,0.01%,0.0%,0.01%,0.0%,0.01%,0.0%,5,0,1,0,6,0,0.01%,0.0%,0.0%,0.0%,0.01%,0.0%,100.0%,0.0%,0,0,0.0%,0.0%,0.0,0.0,0,0,20260303
B0BDVT17LH,B0B9P11R5S,"Spigen O-Mag Handy Ring Halterung Magnetisch für MagSafe, Handy Ständer Magnetic Phone Ring Holder, Kompatibel mit iPhone 17 17e 16 Pro Max Air, Pixel 10 Pro Fold XL, Samsung Galaxy S26 Ultra- Carbon",66,1,22,0,88,1,0.12%,0.18%,0.09%,0.0%,0.11%,0.07%,73,1,25,0,98,1,0.09%,0.13%,0.07%,0.0%,0.09%,0.05%,100.0%,100.0%,2,0,2.27%,0.0%,39.98,0.0,2,0,20260315
B08ML65KPG,B0FD2GGXR5,"Spigen Schutzhülle für iPhone 17 Pro, Ultra-Hybrid, TPU-überzogene Kamerasteuerung, Anti-Vergilbung, kein Magnetring, Kristallklar",177,2,68,4,245,6,0.53%,0.67%,0.36%,0.42%,0.47%,0.48%,328,7,107,5,435,12,0.68%,1.53%,0.41%,0.37%,0.59%,0.66%,100.0%,100.0%,47,2,19.18%,33.33%,602.92,18.44,47,2,20260302
B0D9H1WL61,B0CVRNDN47,Spigen Tough Armor Hülle für Google Pixel 9 Pro und Pixel 9 [Made for Google] -Schwarz,9,0,10,0,19,0,0.03%,0.0%,0.06%,0.0%,0.04%,0.0%,19,0,15,0,34,0,0.04%,0.0%,0.06%,0.0%,0.05%,0.0%,100.0%,0.0%,2,0,10.53%,0.0%,42.16,0.0,2,0,20260304
B0DG1SFG8D,B0DCD7BDK1,Spigen Rugged Armor Pro Hülle mit Armband Kompatibel mit Apple Watch 11/10 46mm (2025/2024) - Marine Blau,2,0,0,0,2,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2,0,0,0,2,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0,0,0.0%,0.0%,0.0,0.0,0,0,20260313
B0FX9SFR98,B0FM2RN8TX,Spigen Rugged Armor 2 Hülle Kompatibel mit Apple Watch 11/10 46mm (2025/2024) - Matt Schwarz,3,0,3,0,6,0,0.01%,0.0%,0.02%,0.0%,0.01%,0.0%,9,0,3,0,12,0,0.02%,0.0%,0.02%,0.0%,0.02%,0.0%,100.0%,0.0%,1,0,16.67%,0.0%,15.86,0.0,1,0,20260321
B0BZ62X6LT,B0BZ62X6LT,Spigen Liquid Air Hülle Kompatibel mit Google Pixel 8 -Abyss Green,3,0,3,0,6,0,0.01%,0.0%,0.02%,0.0%,0.01%,0.0%,3,0,3,0,6,0,0.01%,0.0%,0.01%,0.0%,0.01%,0.0%,100.0%,0.0%,1,0,16.67%,0.0%,15.25,0.0,1,0,20260302
B0F1T5C77Q,B0CVNM1YTM,"Spigen Tesla Model Y Juniper 2026 Standard & Model 3 Highland 2026 Mittelarmlehne Abdeckung, Armlehne Abdeckung Schutzhülle Innenraum für Tesla Model Y Juniper 2025 und 3 Highland 2024 2025 - Weiß",3,0,9,0,12,0,0.01%,0.0%,0.05%,0.0%,0.02%,0.0%,3,0,11,0,14,0,0.01%,0.0%,0.04%,0.0%,0.02%,0.0%,100.0%,0.0%,0,0,0.0%,0.0%,0.0,0.0,0,0,20260308
B0BTMWWR2L,B0FVB1BBZD,"Spigen Tough Armor MagFit für Samsung Galaxy S26 Plus Hülle [XRD-Pad Stoßdämpfung] [Militärgeprüfter Schutz] Case Handyhülle, Kompatibel mit MagSafe –Abyss Green",3,0,2,0,5,0,0.01%,0.0%,0.01%,0.0%,0.01%,0.0%,4,0,3,0,7,0,0.01%,0.0%,0.01%,0.0%,0.01%,0.0%,100.0%,0.0%,0,0,0.0%,0.0%,0.0,0.0,0,0,20260331
B0GP93QVH3,B0FZQ1LS5Y,Spigen Ultra Hybrid MagFit für Google Pixel 10a Hülle [Anti Vergilbung] Case Handyhülle Transparent Kompatibel mit MagSafe -Clear White,9,0,8,0,17,0,0.04%,0.0%,0.06%,0.0%,0.04%,0.0%,11,0,8,0,19,0,0.03%,0.0%,0.04%,0.0%,0.03%,0.0%,100.0%,0.0%,0,0,0.0%,0.0%,0.0,0.0,0,0,20260326
